"seq","corp_cd","option_cd","option_cd_desc","option_val","use_flag","attribute1","attribute2","created_by","creation_date","last_updated_by","last_update_date"
625,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"21051200",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
317,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"21471201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
318,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"22170201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
463,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"22465205-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
322,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"22799200",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-11-15 05:34:52"
624,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"23336200-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
445,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"23463200-S",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
319,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"23469201-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
823,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"23485200-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
327,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"23668200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-11-15 05:34:52"
323,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"30084200",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
458,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"30315200",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
324,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"30470200",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
721,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"30535200",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
459,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"30566200",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
443,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"31672200",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
325,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"35660200",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
444,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"39559200",Y,ASC,,1,"2025-01-10 01:59:41",1,"2025-01-10 01:59:41"
328,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"39587200",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
845,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"39969200",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
460,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"39990220",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
329,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"40202200-S",Y,ASC,,1,"2024-07-25 05:31:22",1,"2024-07-25 05:31:22"
455,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"40307201-S",Y,ASC,,1,"2025-02-06 01:41:49",1,"2025-02-06 01:41:49"
848,us,GSFS_REPAIR_CENTER_CD,service center code which is available to repair request,"40324201-S",Y,ASC,,1,"2025-02-28 05:48:48",1,"2025-02-28 05:48:48"
